Comment,Length,Toxicity,perspective_score,Predicted_Toxicity
ratio,short,Toxic,,Non-Toxic
My Roman Empire.,short,Non-Toxic,,Non-Toxic
There are idiots in every couNon-Toxicry  so don't worry about it.🇯🇵🇵🇸,long,Non-Toxic,0.7570315,Toxic
So I don’t think he needed to make the video some people laugh when they get stressed so he could be stressed about seeing the body,long,Non-Toxic,0.09872158,Non-Toxic
sir this is a wendys drive thru,short,Non-Toxic,0.051810697,Non-Toxic
Why is the transcript in Arabic,short,Non-Toxic,,Non-Toxic
where can I get the hat?,short,Non-Toxic,,Non-Toxic
Hes holding vack emotions that humans are incapable of understanding,long,Non-Toxic,0.1996317,Non-Toxic
And this is our WWE United States Champion 😂😂😂,short,Toxic,0.041172907,Non-Toxic
This is our us champion,short,Toxic,0.028974265,Non-Toxic
AND NEWWWWWW,short,Non-Toxic,0.034041706,Non-Toxic
Crazy to realize that this is one of the best fighters right now,long,Non-Toxic,0.15932569,Non-Toxic
Is this AI generated?,short,Non-Toxic,,Non-Toxic
Haha sucker,short,Toxic,0.76197964,Toxic
I forgive you. We all make mistakes.,short,Non-Toxic,,Non-Toxic
He wins united States champion,short,Non-Toxic,0.02072494,Non-Toxic
I love this video,short,Non-Toxic,0.032863233,Non-Toxic
shut up your not forgiven,short,Toxic,,Non-Toxic
idi na uj,short,Non-Toxic,,Non-Toxic
I love how when this was originally made everyone was mad  now the commeNon-Toxics are filled with memes 😂,long,Non-Toxic,0.1996317,Non-Toxic
mmmm no dislikes must be a humble and caring YouTuber,long,Toxic,0.115658075,Non-Toxic
this aged well,short,Non-Toxic,0.034748793,Non-Toxic
this aged well,short,Non-Toxic,,Non-Toxic
its ok logan,short,Non-Toxic,0.022610499,Non-Toxic
This is one of the few apologies on the iNon-Toxicernet that is actually genuine,long,Non-Toxic,0.05255287,Non-Toxic
Its Okay.,short,Non-Toxic,,Non-Toxic
Props for keeping this uploaded.,short,Non-Toxic,,Non-Toxic
atleast nobody is mad at him. hes more traumatized then us,long,Non-Toxic,0.165053,Non-Toxic
he made a severe and coNon-Toxicinue lapse in his judgemeNon-Toxic,long,Non-Toxic,0.104361884,Non-Toxic
What was this even about?,short,Non-Toxic,0.021196328,Non-Toxic
Lmao I can’t believe I fell for this when it came out,long,Toxic,0.11479026,Non-Toxic
Ur not skibidi 😡😡😡,short,Toxic,0.19124292,Non-Toxic
do we forgive him?,short,Non-Toxic,,Non-Toxic
REPLY IF YOUR HERE FROM 2023,short,Non-Toxic,0.039462693,Non-Toxic
Literally analyzing this for an English class rn.,short,Non-Toxic,0.032627538,Non-Toxic
I just came across this on my recommended  can someone explain,long,Non-Toxic,0.022256956,Non-Toxic
Bro looked at the monitor 😨😨,short,Non-Toxic,0.061444655,Non-Toxic
Who is here from 2023,short,Non-Toxic,0.021432023,Non-Toxic
I guess this worked,short,Non-Toxic,0.01822079,Non-Toxic
🦧🦧🐒🙉🙉🏴󠁧󠁢󠁳󠁣󠁴󠁿💀👍🕊,short,Non-Toxic,,Non-Toxic
take out the ukelele!!!!,short,Non-Toxic,0.14082454,Non-Toxic
konekokitten,short,Non-Toxic,,Non-Toxic
this is a youtube classic,short,Non-Toxic,0.04315203,Non-Toxic
Can you do this in a leather jacket please,short,Non-Toxic,0.25462922,Non-Toxic
Hey Logan,short,Non-Toxic,0.015644746,Non-Toxic
i quote the opening to this video so often 😭,long,Non-Toxic,0.054037213,Non-Toxic
Johnny Somali: Im with you bro.. Tee Heehee,short,Non-Toxic,0.028856417,Non-Toxic
And now this dude wrestles for WWE. How in the world?,long,Toxic,0.13388206,Non-Toxic
wood,short,Non-Toxic,0.020231359,Non-Toxic
"Yes you are "" SORRY.""",short,Toxic,0.031213367,Non-Toxic
That one friend when he spills on your clothes:,short,Non-Toxic,0.3302291,Non-Toxic
Yo digo que en parte estuvo bien para que tomen consciencia en su país y prevengan ese tipo de acto a los japoneses :v,long,Non-Toxic,0.036870047,Non-Toxic
normie line!!,short,Non-Toxic,0.16678599,Non-Toxic
He has some things right. It’s short and simple,short,Non-Toxic,0.07054565,Non-Toxic
PRIME!!!,short,Non-Toxic,0.02107848,Non-Toxic
Are u african by any chance?,short,Non-Toxic,0.23739935,Non-Toxic
